date	close_stock	SMA_short	SMA_long	RSI	Signal	correlation_10D	total_return	price_return	close_index
1/1/2025	161.96				Hold				4802.1
1/2/2025	163.82				Hold		0.0115	0.0115	4815.3
1/3/2025	165.61	163.7967			Hold		0.0109	0.0109	4820.7
1/6/2025	167.35	165.5933			Hold		0.0105	0.0105	4838.5
1/7/2025	169.46	167.4733			Hold		0.0126	0.0126	4855.2
1/8/2025	170.24	169.0167			Hold		0.0046	0.0046	4870.9
1/9/2025	171.03	170.2433	167.0671		Hold		0.0046	0.0046	4885.4
1/10/2025	172.22	171.1633	168.5329		Hold		0.007	0.007	4900.6
1/13/2025	173.31	172.1867	169.8886		Hold		0.0063	0.0063	4912.8
1/14/2025	174.1	173.21	171.1014		Hold		0.0046	0.0046	4920.1
1/15/2025	175.35	174.2533	172.2443		Hold	0.1528	0.0072	0.0072	4925.3
1/16/2025	173.59	174.3467	172.8343		Hold	0.7339	-0.01	-0.01	4918.7
1/17/2025	171.72	173.5533	173.0457		Hold	0.9172	-0.0108	-0.0108	4908.9
1/20/2025	171.81	172.3733	173.1571	78.7843	Sell	0.9078	0.0005	0.0005	4915.2
1/21/2025	172.46	171.9967	173.1914	79.5608	Hold	0.8896	0.0038	0.0038	4920.8
1/22/2025	170.53	171.6	172.7943	68.8166	Hold	0.9331	-0.0112	-0.0112	4910.4
1/23/2025	168	170.33	171.9229	56.4351	Hold	0.9567	-0.0148	-0.0148	4898.9
1/24/2025	168.66	169.0633	170.9671	53.745	Hold	0.9564	0.0039	0.0039	4902.1
1/27/2025	167.02	167.8933	170.0286	42.832	Hold	0.9553	-0.0097	-0.0097	4890.6
1/28/2025	167.63	167.77	169.4443	42.2552	Hold	0.955	0.0037	0.0037	4895.3
1/29/2025	167.66	167.4367	168.8514	39.5277	Hold	0.9528	0.0002	0.0002	4900.8
1/30/2025	167.36	167.55	168.1229	34.0132	Hold	0.8983	-0.0018	-0.0018	4892.4
1/31/2025	168.13	167.7167	167.78	32.5941	Hold	0.8837	0.0046	0.0046	4895.1
2/3/2025	167.02	167.5033	167.64	26.7105	Hold	0.904	-0.0066	-0.0066	4888.7
2/4/2025	164.93	166.6933	167.1071	17.5187	Hold	0.902	-0.0125	-0.0125	4878.2
2/5/2025	165.92	165.9567	166.95	24.8854	Hold	0.8932	0.006	0.006	4880.5
2/6/2025	166.59	165.8133	166.8014	31.7697	Hold	0.8654	0.004	0.004	4890.1
2/7/2025	165.91	166.14	166.5514	29.8772	Hold	0.8594	-0.0041	-0.0041	4882.8
